entity_type,recommendation,id_a,label_a,id_b,label_b,similarity,reason
IBD_Outcome,likely-same,LLM:recurrent_clostridiodes_difficile_infection,recurrent Clostridiodes difficile infection,LLM:recurrent_clostridioides_difficile_infection,recurrent Clostridioides difficile infection,98.9,spelling variant: clostridiode/clostridioide
Bioactive,likely-same,LLM:flammuliana_velutipes_polysaccharide,Flammuliana velutipes polysaccharide,LLM:flammulina_velutipes_polysaccharide,Flammulina velutipes polysaccharide,98.6,spelling variant: flammuliana/flammulina
Bioactive,likely-same,LLM:atractylodes_macrocephala_polysaccharide,Atractylodes macrocephala polysaccharide,LLM:atractylodis_macrocephala_polysaccharide,Atractylodis Macrocephala polysaccharide,97.5,spelling variant: atractylode/atractylodi
Food,likely-same,LLM:partially_hydrolysed_guar_gum,partially hydrolysed guar gum,LLM:partially_hydrolyzed_guar_gum,partially hydrolyzed guar gum,96.6,spelling variant: hydrolysed/hydrolyzed
IBD_Outcome,likely-same,LLM:necrotising_enterocolitis,necrotising enterocolitis,LLM:necrotizing_enterocolitis,necrotizing enterocolitis,96.0,spelling variant: necrotising/necrotizing
Food,likely-same,LLM:pectic_oligosaccharides,pectic oligosaccharides,LLM:pectin_oligosaccharides,pectin oligosaccharides,95.7,spelling variant: pectic/pectin
Bioactive,likely-same,LLM:indole_propionic_acid,indole propionic acid,LLM:indole-3-propionic_acid,indole-3-propionic acid,95.5,one name omits locant ['3']
Bioactive,likely-same,LLM:3-indoleacrylic_acid,3-indoleacrylic acid,LLM:indoleacrylic_acid,indoleacrylic acid,94.7,one name omits locant ['3']
Bioactive,likely-same,LLM:indole_acetic_acid,indole acetic acid,LLM:indole-3-acetic_acid,indole-3-acetic acid,94.7,one name omits locant ['3']
Bioactive,likely-same,LLM:indole_lactic_acid,indole lactic acid,LLM:indole-3-lactic_acid,indole-3-lactic acid,94.7,one name omits locant ['3']
Bioactive,likely-same,LLM:indole_acetamide,indole acetamide,LLM:indole-3-acetamide,indole-3-acetamide,94.1,one name omits locant ['3']
Bioactive,likely-same,LLM:luteolin,luteolin,LLM:luterolin,luterolin,94.1,spelling variant: luteolin/luterolin
Bioactive,likely-same,CHEBI:28189,Isomaltose,LLM:isomaltulose,isomaltulose,90.9,spelling variant: isomaltose/isomaltulose
Bioactive,likely-same,LLM:docosapentaenoic_acid,docosapentaenoic acid,LLM:eicosapentaenoic_acid,eicosapentaenoic acid,90.5,spelling variant: docosapentaenoic/eicosapentaenoic
Food,likely-distinct,LLM:resistant_starch_type_2,Resistant starch type 2,LLM:resistant_starch_type_5,Resistant starch type 5,95.7,different locant/isomer: 2/5
Bioactive,likely-distinct,LLM:caffeoylquinic_acid,caffeoylquinic acid,LLM:dicaffeoylquinic_acid,dicaffeoylquinic acid,95.0,multiplier prefix: caffeoylquinic/dicaffeoylquinic
Food,likely-distinct,LLM:qingzhuan_tea_aged_10_years,Qingzhuan tea aged 10 years,LLM:qingzhuan_tea_aged_5_years,Qingzhuan tea aged 5 years,94.3,different locant/isomer: 10/5
Bioactive,likely-distinct,LLM:1h-indole-3-carboxaldehyde,1H-Indole-3-carboxaldehyde,LLM:indole-3-carboxaldehyde,indole-3-carboxaldehyde,93.9,strain/code token ['1h']
Bioactive,likely-distinct,LLM:bisdemethoxycurcumin,bisdemethoxycurcumin,LLM:demethoxycurcumin,demethoxycurcumin,91.9,multiplier prefix: bisdemethoxycurcumin/demethoxycurcumin
Food,likely-distinct,LLM:lacticaseibacillus_paracasei_18,Lacticaseibacillus paracasei 18,LLM:lacticaseibacillus_paracasei_6235,Lacticaseibacillus paracasei 6235,90.6,different locant/isomer: 18/6235
Microbe,verify-taxonomy,LLM:clostridium_xiv,Clostridium XIV,LLM:clostridium_xivalpha,Clostridium XIVα,100.0,[] vs ['alpha'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:eubacterium_coprostanoligenes,Eubacterium coprostanoligenes,LLM:eubacterium_coprostanoloigenes,Eubacterium coprostanoloigenes,98.3,['coprostanoligene'] vs ['coprostanoloigene'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:333367,Clostridium asparagiform,LLM:clostridium_asparagiforme,Clostridium asparagiforme,98.0,['asparagiform'] vs ['asparagiforme'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:208479,Clostridium boltae,LLM:clostridium_bolteae,Clostridium bolteae,97.3,['boltae'] vs ['bolteae'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_klds_1_0318,Lactobacillus plantarum KLDS 1.0318,LLM:lactobacillus_plantarum_klds_1_0386,Lactobacillus plantarum KLDS 1.0386,97.1,['0318'] vs ['0386'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:egerthella_lenta,Egerthella lenta,LLM:eggerthella_lenta,Eggerthella lenta,97.0,['egerthella'] vs ['eggerthella'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridium_xiv,Clostridium XIV,LLM:clostridium_xiva,Clostridium XIVa,96.8,['xiv'] vs ['xiva'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridium_xiva,Clostridium XIVa,LLM:clostridium_xivalpha,Clostridium XIVα,96.8,"['xiva'] vs ['alpha', 'xiv'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:parabacterioides,Parabacterioides,NCBITaxon:1869337,Parabacteroides,96.8,['parabacterioide'] vs ['parabacteroide'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:pediococcus_acidilactici_wnym01,Pediococcus acidilactici WNYM01,LLM:pediococcus_acidilactici_wnym02,Pediococcus acidilactici WNYM02,96.8,['wnym01'] vs ['wnym02'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_fermentum_kbl374,Lactobacillus fermentum KBL374,LLM:lactobacillus_fermentum_kbl375,Lactobacillus fermentum KBL375,96.7,['kbl374'] vs ['kbl375'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bifidobacterium_pseudolongulum,Bifidobacterium pseudolongulum,LLM:bifidobacterium_pseudolongum,Bifidobacterium pseudolongum,96.6,['pseudolongulum'] vs ['pseudolongum'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridium_iv,Clostridium IV,LLM:clostridium_xiv,Clostridium XIV,96.6,['iv'] vs ['xiv'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridium_iv,Clostridium IV,LLM:clostridium_xivalpha,Clostridium XIVα,96.6,"['iv'] vs ['alpha', 'xiv'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:clostridium_xiv,Clostridium XIV,LLM:clostridium_xi,Clostridium_XI,96.6,['xiv'] vs ['xi'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridium_xivalpha,Clostridium XIVα,LLM:clostridium_xi,Clostridium_XI,96.6,"['alpha', 'xiv'] vs ['xi'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_17-1,Lactobacillus plantarum 17-1,LLM:lactobacillus_plantarum_ar17-1,Lactobacillus plantarum AR17-1,96.6,['17'] vs ['ar17'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bifidobacterium_longum_bif10,Bifidobacterium longum Bif10,LLM:bifidobacterium_longum_bif16,Bifidobacterium longum Bif16,96.4,['bif10'] vs ['bif16'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridium_sensu_stricto,Clostridium sensu stricto,LLM:clostridium_sensu_stricto_1,Clostridium sensu stricto 1,96.2,[] vs ['1'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridium_sensu_stricto,Clostridium sensu stricto,LLM:clostridium_sensu_stricto-1,Clostridium sensu stricto-1,96.2,[] vs ['1'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_03,Lactobacillus plantarum 03,LLM:lactobacillus_plantarum_06,Lactobacillus plantarum 06,96.2,['03'] vs ['06'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bacteriodetes,Bacteriodetes,LLM:bacterodetes,Bacterodetes,96.0,['bacteriodete'] vs ['bacterodete'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bacterodetes,Bacterodetes,NCBITaxon:976,Bacteroidetes,96.0,['bacterodete'] vs ['bacteroidete'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:580024,Enterorhabdus,LLM:enterorhadus,Enterorhadus,96.0,['enterorhabdu'] vs ['enterorhadu'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:28026,Bifidobacterium pseudocatenulatum,LLM:bifidobacterium_pseudocatenulatum_g7,Bifidobacterium pseudocatenulatum G7,95.7,[] vs ['g7'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridium_cluster_iv,Clostridium cluster IV,LLM:clostridium_cluster_xiva,Clostridium cluster XIVa,95.7,['iv'] vs ['xiva'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lachnospiraceae-ucg-001,Lachnospiraceae-UCG-001,LLM:lachnospiraceae_ucg-006,Lachnospiraceae_UCG-006,95.7,['001'] vs ['006'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:ruminococcaceae_ucg-013,Ruminococcaceae UCG-013,LLM:ruminococcaceae_ucg-014,Ruminococcaceae UCG-014,95.7,['013'] vs ['014'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:propionibacterium_freudenreichii,Propionibacterium freudenreichii,LLM:propionibacterium_freudenreichii_b1,Propionibacterium freudenreichii B1,95.5,[] vs ['b1'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:360807,Roseburia Inulinivorans,LLM:roseburia_inulivorans,Roseburia inulivorans,95.5,['inulinivoran'] vs ['inulivoran'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:820,Bacteriodes uniformis,LLM:bacteroides_uniformis,Bacteroides uniformis,95.2,['bacteriode'] vs ['bacteroide'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:escherichia-shigella,Escherichia-Shigella,LLM:escherichia-shihella,Escherichia-Shihella,95.0,['shigella'] vs ['shihella'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:escherichia-shigella,Escherichia-Shigella,LLM:escherichia-shinella,Escherichia-Shinella,95.0,['shigella'] vs ['shinella'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:escherichia-shihella,Escherichia-Shihella,LLM:escherichia-shinella,Escherichia-Shinella,95.0,['shihella'] vs ['shinella'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:escherichia-shihella,Escherichia-Shihella,LLM:escherichia_shigella,Escherichia/Shigella,95.0,['shihella'] vs ['shigella'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:escherichia-shinella,Escherichia-Shinella,LLM:escherichia_shigella,Escherichia/Shigella,95.0,['shinella'] vs ['shigella'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:33038,Ruminococcus gnavus,LLM:ruminococcus_b_gnavus,Ruminococcus_B gnavus,95.0,[] vs ['b'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bifidobacterium_bifidum_bgn4,Bifidobacterium bifidum BGN4,LLM:bifidobacterium_bifidum_bgn4-sk,Bifidobacterium bifidum BGN4-SK,94.9,[] vs ['sk'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lacticaseibacillus_rhamnosus,Lacticaseibacillus rhamnosus,LLM:lacticaseibacillus_rhamnosus_gg,Lacticaseibacillus rhamnosus GG,94.9,[] vs ['gg'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_acidophilus_la1,Lactobacillus acidophilus LA1,LLM:lactobacillus_acidophilus_la85,Lactobacillus acidophilus LA85,94.9,['la1'] vs ['la85'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:butyrate-producing_bacteria,butyrate-producing bacteria,LLM:isobutyrate-producing_bacteria,isobutyrate-producing bacteria,94.7,['butyrate'] vs ['isobutyrate'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_06,Lactobacillus plantarum 06,LLM:lactobacillus_plantarum_06cc2,Lactobacillus plantarum 06CC2,94.5,['06'] vs ['06cc2'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:desulfovibrioceae,Desulfovibrioceae,LLM:desulfovibrionaceae,Desulfovibrionaceae,94.4,['desulfovibrioceae'] vs ['desulfovibrionaceae'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:1508657,Ruminiclostridium,LLM:ruminiclostridium_9,Ruminiclostridium_9,94.4,[] vs ['9'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_acidophilus,Lactobacillus acidophilus,LLM:lactobacillus_acidophilus_c4,Lactobacillus acidophilus C4,94.3,[] vs ['c4'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_paracasei_f19,Lactobacillus paracasei F19,LLM:lactobacillus_paracasei_l9,Lactobacillus paracasei L9,94.3,['f19'] vs ['l9'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_an1,Lactobacillus plantarum AN1,LLM:lactobacillus_plantarum-12,Lactobacillus plantarum-12,94.3,['an1'] vs ['12'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_l15,Lactobacillus plantarum L15,LLM:lactobacillus_plantarum-12,Lactobacillus plantarum-12,94.3,['l15'] vs ['12'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:28025,Bifidobacterium animalis,LLM:bifidobacterium_animalis_a6,Bifidobacterium animalis A6,94.1,[] vs ['a6'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridium_cluster_xiva,Clostridium cluster XIVa,LLM:clostridium_subcluster_xiva,Clostridium subcluster XIVa,94.1,['cluster'] vs ['subcluster'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:helicobacteraceae,Helicobacteraceae,LLM:heliobacteriaceae,Heliobacteriaceae,94.1,['helicobacteraceae'] vs ['heliobacteriaceae'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:4932,Saccharomyces cerevisiae,LLM:saccharomyces_cerevisiae_i4,Saccharomyces cerevisiae I4,94.1,[] vs ['i4'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:1613,Lactobacillus fermentum,LLM:lactobacillus_fermentum_s1,Lactobacillus fermentum S1,93.9,[] vs ['s1'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_johnsonii,Lactobacillus johnsonii,LLM:lactobacillus_johnsonii_46,Lactobacillus johnsonii 46,93.9,[] vs ['46'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_johnsonii,Lactobacillus johnsonii,LLM:lactobacillus_johnsonii_n5,Lactobacillus johnsonii N5,93.9,[] vs ['n5'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_paracasei,Lactobacillus paracasei,LLM:lactobacillus_paracasei_l9,Lactobacillus paracasei L9,93.9,[] vs ['l9'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum,Lactobacillus plantarum,LLM:lactobacillus_plantarum_03,Lactobacillus plantarum 03,93.9,[] vs ['03'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum,Lactobacillus plantarum,LLM:lactobacillus_plantarum_06,Lactobacillus plantarum 06,93.9,[] vs ['06'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum,Lactobacillus plantarum,LLM:lactobacillus_plantarum-12,Lactobacillus plantarum-12,93.9,[] vs ['12'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_rhamnosus,Lactobacillus rhamnosus,LLM:lactobacillus_rhamnosus_01,Lactobacillus rhamnosus 01,93.9,[] vs ['01'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_rhamnosus,Lactobacillus rhamnosus,LLM:lactobacillus_rhamnosus_gg,Lactobacillus rhamnosus GG,93.9,[] vs ['gg'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_rhamnosus,Lactobacillus rhamnosus,LLM:lactobacillus_rhamnosus_m9,Lactobacillus rhamnosus M9,93.9,[] vs ['m9'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bifidobacterium_bifidum_fl-228_1,Bifidobacterium bifidum FL-228.1,LLM:bifidobacterium_bifidum_fl-276_1,Bifidobacterium bifidum FL-276.1,93.8,['228'] vs ['276'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:blastocystis_st4,Blastocystis ST4,LLM:blastocystis_st7,Blastocystis ST7,93.8,['st4'] vs ['st7'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:verrucomicrobia,Verrucomicrobia,LLM:verrucomicrobiota,Verrucomicrobiota,93.8,['verrucomicrobia'] vs ['verrucomicrobiota'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bifidobacterium_lactis,Bifidobacterium lactis,LLM:bifidobacterium_lactis_v9,Bifidobacterium lactis V9,93.6,[] vs ['v9'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:actinobacteria,Actinobacteria,LLM:actinobacteriota,Actinobacteriota,93.3,['actinobacterium'] vs ['actinobacteriota'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridium_iv,Clostridium IV,LLM:clostridium_xiva,Clostridium XIVa,93.3,['iv'] vs ['xiva'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridium_xiva,Clostridium XIVa,LLM:clostridium_xi,Clostridium_XI,93.3,['xiva'] vs ['xi'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactiplantibacillus_plantarum_cgmcc9513,Lactiplantibacillus plantarum CGMCC9513,LLM:lactiplantibacillus_plantarum_imc513,Lactiplantibacillus plantarum IMC513,93.3,['cgmcc9513'] vs ['imc513'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_reuteri,Lactobacillus reuteri,LLM:lactobacillus_reuteri_l6,Lactobacillus reuteri L6,93.3,[] vs ['l6'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_delbrueckii_yn1,Lactobacillus delbrueckii YN1,BOLTE_MICROBE_CLUSTER:S18_Lactobacillus_delbrueckii,S18_Lactobacillus delbrueckii,93.1,['yn1'] vs ['s18'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bifidobacterium_animalis_subsp_lactis_bl-99,Bifidobacterium animalis subsp. lactis BL-99,LLM:bifidobacterium_animalis_subsp_lactis_bla80,Bifidobacterium animalis subsp. lactis BLa80,93.0,"['99', 'bl'] vs ['bla80'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:lactobacillus_brevis,Lactobacillus brevis,LLM:lactobacillus_brevis_02,Lactobacillus brevis 02,93.0,[] vs ['02'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:2037,Actinomycetales,LLM:actinomycetes,Actinomycetes,92.9,['actinomycetale'] vs ['actinomycete'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:campylobacter,Campylobacter,LLM:campylobacteria,Campylobacteria,92.9,['campylobacter'] vs ['campylobacterium'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridium_iv,Clostridium IV,LLM:clostridium_xi,Clostridium_XI,92.9,['iv'] vs ['xi'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_an1,Lactobacillus plantarum AN1,LLM:lactobacillus_plantarum_lac16,Lactobacillus plantarum Lac16,92.9,['an1'] vs ['lac16'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_l15,Lactobacillus plantarum L15,LLM:lactobacillus_plantarum_lac16,Lactobacillus plantarum Lac16,92.9,['l15'] vs ['lac16'] (resolve against NCBI Taxonomy)
